beta,alpha,tau,seed,rep,community_id,community_size,degree_opinion_corr
0.5,0.0,0.0,9571082220517924,7,5,92,-0.5271901940755502
0.5,0.0,0.0,9571082220517924,7,6,61,-0.6648244247600529
0.5,0.0,0.0,9571082220517924,7,7,103,-0.6040059939845255
0.5,0.0,0.0,9571082220517924,7,8,95,-0.7376562825395329
0.5,0.0,0.0,9571082220517924,7,9,56,-0.6414023871488129
0.5,0.0,0.0,9571082220517924,7,10,60,-0.5432872046277905
0.5,0.0,0.0,9571082220517924,7,11,90,-0.6018068348462773
0.5,0.0,0.0,5896733171915261996,8,1,121,-0.5932422540191309
0.5,0.0,0.0,5896733171915261996,8,2,110,-0.5041802683704651
0.5,0.0,0.0,5896733171915261996,8,3,86,-0.5654019139027202
0.5,0.0,0.0,5896733171915261996,8,4,140,-0.6149041323229537
0.5,0.0,0.0,5896733171915261996,8,5,114,-0.6328218831891952
0.5,0.0,0.0,5896733171915261996,8,6,116,-0.57145640583189
0.5,0.0,0.0,5896733171915261996,8,7,102,-0.4448073738599999
0.5,0.0,0.0,5896733171915261996,8,8,116,-0.6175471775039857
0.5,0.0,0.0,11774834985145202088,9,1,123,-0.614484420975181
0.5,0.0,0.0,11774834985145202088,9,2,92,-0.6377400296840691
0.5,0.0,0.0,11774834985145202088,9,3,63,-0.5116262975445722
0.5,0.0,0.0,11774834985145202088,9,4,111,-0.5889987192506125
0.5,0.0,0.0,11774834985145202088,9,5,91,-0.6293178567550162
0.5,0.0,0.0,11774834985145202088,9,6,99,-0.5719080081595018
0.5,0.0,0.0,11774834985145202088,9,7,108,-0.571741352356842
0.5,0.0,0.0,11774834985145202088,9,8,119,-0.518343983625418
0.5,0.0,0.0,11774834985145202088,9,9,105,-0.6477530886596328
0.5,0.0,0.0,17655726315210683710,10,1,155,-0.5420023534711018
0.5,0.0,0.0,17655726315210683710,10,2,136,-0.48697809396987407
0.5,0.0,0.0,17655726315210683710,10,3,115,-0.5462730341300465
0.5,0.0,0.0,17655726315210683710,10,4,85,-0.7248841992082617
0.5,0.0,0.0,17655726315210683710,10,5,116,-0.5812671359275028
0.5,0.0,0.0,17655726315210683710,10,6,79,-0.5659976500493394
0.5,0.0,0.0,17655726315210683710,10,7,143,-0.6312722057322327
0.5,0.0,0.0,17655726315210683710,10,8,79,-0.57577220440001
0.5,0.0,0.0,5098007700610629817,11,1,113,-0.5146461388220546
0.5,0.0,0.0,5098007700610629817,11,2,106,-0.6752472879473289
0.5,0.0,0.0,5098007700610629817,11,3,127,-0.6301496819127216
0.5,0.0,0.0,5098007700610629817,11,4,101,-0.4564914483547781
0.5,0.0,0.0,5098007700610629817,11,5,65,-0.6432095259809107
0.5,0.0,0.0,5098007700610629817,11,6,92,-0.5685642468153701
0.5,0.0,0.0,5098007700610629817,11,7,107,-0.5664035124267388
0.5,0.0,0.0,5098007700610629817,11,8,126,-0.6722628134559527
0.5,0.0,0.0,5098007700610629817,11,9,65,-0.5986827883597395
0.5,0.0,0.0,10979521178164063229,12,1,142,-0.5439554001220402
0.5,0.0,0.0,10979521178164063229,12,2,126,-0.6597310267034041
0.5,0.0,0.0,10979521178164063229,12,3,134,-0.5085811103956125
0.5,0.0,0.0,10979521178164063229,12,4,74,-0.4806330860841195
0.5,0.0,0.0,10979521178164063229,12,5,103,-0.5544157514888586
