beta,alpha,tau,seed,rep,N_obs,n_communities,Q,Q_norm,rwc,rwc_norm,spectral_gap,ei,bimodality_coeff,hartigan_dip,valley_peak_ratio
0.5,0.0,0.0,1611438112353069531,1,899,10,0.13396254494234688,1.2822319697583597,0.006420134564726759,-1.3635581977028326,0.6323756487984356,-0.34287212525282795,0.35237971305536975,0.006984414101268787,1.0
0.5,0.0,0.0,7494202958693546329,2,897,8,0.12958885192958058,2.040930811458532,0.009925280194782421,3.226954527341252,0.6216072581879938,-0.583866355632478,0.3155567027646467,0.007873565852637278,1.0
0.5,0.0,0.0,13374477649566635846,3,912,10,0.1277070890584064,1.1928159201510926,0.005429938469308754,-0.5378897398210328,0.6247942970254712,-0.20693422681914198,0.3512010953209967,0.008635093373322215,1.0
0.5,0.0,0.0,812388289413059690,4,902,8,0.1288251812588462,-0.10147217350583478,0.005299301139349039,0.2347267687878828,0.6340761286550045,-0.15893991384974812,0.3542105599051222,0.008461920135975576,1.0
0.5,0.0,0.0,6692048486429922453,5,906,10,0.1316140968772733,-0.2667299223878019,0.007051332241121866,-0.4371909603518287,0.6284429017561595,-0.31017332328560665,0.3116862287245044,0.007087790548030956,1.0
0.5,0.0,0.0,12577315606488017839,6,908,10,0.13085954559250385,0.39481203392164416,0.007329637291637103,1.8419374964771893,0.6244214392506555,-0.18552504995189817,0.3463832176198361,0.007932727241439499,1.0
0.5,0.0,0.0,9571082220517924,7,913,11,0.12750747489989356,-0.2913508649220308,0.0063469357092623135,2.124407263445659,0.6338894824976606,-0.1687091803038086,0.3507844485166303,0.007940067540534118,1.0
0.5,0.0,0.0,5896733171915261996,8,905,8,0.1296886100813586,1.033644623481613,0.00800385264545661,0.725465079553007,0.6251908855324002,-0.5954403218596335,0.3398019177076669,0.00741967543712127,1.0
0.5,0.0,0.0,11774834985145202088,9,911,9,0.1287801686851211,-0.22779504919384397,0.005219538398316681,0.25218672896690697,0.6314300069013179,-0.18176470588235294,0.3108582691244431,0.009844321060846258,1.0
0.5,0.0,0.0,17655726315210683710,10,908,8,0.12900920887789835,1.1987282460076565,0.006344833636416025,-0.6195407826230781,0.6192790595833706,-0.16687765284086678,0.3486695548644277,0.009617055290135144,0.9826485078418254
0.5,0.0,0.0,5098007700610629817,11,902,9,0.13319581715527323,-0.5726117152561935,0.004812538317568199,-0.31809346968771157,0.6251314006238041,-0.16134872143018783,0.32858610393302023,0.008061054218981949,0.9008302460676393
0.5,0.0,0.0,10979521178164063229,12,903,8,0.1313189730824523,0.3682106690962992,0.007712581369970245,-0.00478312506054159,0.6289373795040983,-0.16264162194394752,0.3517834036426689,0.007835804333619509,1.0
0.5,0.0,0.0,16859135337426458730,13,917,9,0.1339686180462739,1.5964748866661047,0.00995108472593112,-0.19029603964223946,0.6256722201178537,-0.4410225743758409,0.3488555304176234,0.005882017647954141,1.0
0.5,0.0,0.0,4290777073069492860,14,899,8,0.12783795884543844,1.913530579591405,0.006628368765910719,-0.2322321499913521,0.636053551499273,-0.31157879298966046,0.30329429706423683,0.008007521358544954,1.0
0.5,0.0,0.0,10181417216544739087,15,911,9,0.13114729609108527,-1.0026363240479597,0.009217319061709417,-0.6863414405473011,0.622806600396307,-0.3824076139489925,0.35534440992292915,0.007829428605041575,1.0
0.5,0.0,0.0,16065103629723380447,16,905,10,0.13201368093272214,0.5264081338032658,0.005178967480939822,-0.8597367880293295,0.6209963190565251,-0.17587636637768564,0.3544222690889927,0.0078034991318560445,1.0
0.5,0.0,0.0,3500491470203468561,17,901,10,0.13019546351980543,1.5344526968790202,0.004537116415201603,-0.35312505282452505,0.6191727356769313,-0.2016813030098326,0.36849106071219934,0.008667348718507325,1.0
0.5,0.0,0.0,9374260979984687139,18,914,9,0.129251631310995,-0.43169621595638386,0.006681395607510271,-0.37078941381746017,0.6365826092615348,-0.37987769365171814,0.3731818771026039,0.011804460706801086,0.9902985122325338
0.5,0.0,0.0,15257345713342035328,19,906,9,0.13139597967966551,-1.3497949905452682,0.00611439078009593,-0.05067625171034084,0.6312142432982829,-0.18593866866118175,0.32904282982462413,0.0066891999002622075,1.0
