trial,n,ks_fobs,ks_f,gap,success
1,100,0.042965118517634626,0.19309440342427087,0.15012928490663624,true
1,500,0.027104373584138863,0.1705727013748923,0.14346832779075344,true
1,1000,0.019494858978377383,0.17671663258295311,0.15722177360457573,true
1,5000,0.012655108769568935,0.16855278007605584,0.1558976713064869,true
2,100,0.06409879789709294,0.18412583144596983,0.1200270335488769,true
2,500,0.027204790449236516,0.1725070635703495,0.145302273121113,true
2,1000,0.03136332722253066,0.19149751978097002,0.16013419255843936,true
2,5000,0.011560186692018859,0.16947302735148817,0.1579128406594693,true
3,100,0.11271952605114388,0.20866573550231043,0.09594620945116655,true
3,500,0.03199320453616705,0.19030089461301666,0.1583076900768496,true
3,1000,0.03354047868399429,0.18299892442187649,0.1494584457378822,true
3,5000,0.010585616895679467,0.16450844212921187,0.1539228252335324,true
4,100,0.1709453334343577,0.3297232415310851,0.15877790809672743,true
4,500,0.031764555825298246,0.16675275758156582,0.13498820175626758,true
4,1000,0.037828136484978736,0.19609440342427087,0.15826626693929213,true
4,5000,0.012989551976592961,0.16886698299672953,0.15587743102013657,true
5,100,0.06474248646925618,0.22471663258295316,0.15997414611369698,true
5,500,0.03625208254920806,0.16063243727453053,0.12438035472532247,true
5,1000,0.019844737199626872,0.16866892377997367,0.1488241865803468,true
5,5000,0.01943509742829036,0.1790689237799737,0.15963382635168333,true
6,100,0.04758643552580166,0.18566892377997368,0.13808248825417202,true
6,500,0.05193133473442818,0.19179418359417663,0.13986284885974845,true
6,1000,0.019881827480941194,0.16061701620854618,0.140735188727605,true
6,5000,0.016059521316005743,0.17600691073805208,0.15994738942204634,true
7,100,0.12529817715277858,0.18312954501239687,0.05783136785961829,true
7,500,0.038064412910440576,0.18455278007605586,0.14648836716561528,true
7,1000,0.03501753152362086,0.1841794939061031,0.14916196238248225,true
7,5000,0.009700436020296188,0.16582082541071252,0.15612038939041634,true
8,100,0.07840251827697231,0.1919989244218765,0.11359640614490418,true
8,500,0.029068710256642705,0.1886767113439597,0.159608001087317,true
8,1000,0.0394783107072858,0.16037776026156714,0.12089944955428134,true
8,5000,0.01185952131600565,0.1714324372745305,0.15957291595852485,true
9,100,0.09703488148236539,0.2243851489656633,0.12735026748329792,true
9,500,0.026348802034346173,0.18366892377997368,0.1573201217456275,true
9,1000,0.05655616111232997,0.17770550954394349,0.12114934843161351,true
9,5000,0.008207066454310019,0.16351881991882022,0.1553117534645102,true
10,100,0.04372865205414195,0.1547166325829531,0.11098798052881115,true
10,500,0.043005628114974326,0.19802787368636732,0.155022245571393,true
10,1000,0.024377844206017962,0.18189063948178424,0.15751279527576628,true
10,5000,0.008775912614407744,0.16834070169439547,0.15956478907998772,true
11,100,0.09419547516431459,0.21299567227628163,0.11880019711196704,true
11,500,0.03530510988987451,0.15593795327691684,0.12063284338704233,true
11,1000,0.02230465604771137,0.1836170162085462,0.16131236016083483,true
11,5000,0.016301878255561397,0.16723243727453052,0.15093055901896912,true
12,100,0.05758643552580184,0.1925527800760558,0.13496634455025397,true
12,500,0.042158831441997835,0.19017949390610303,0.1480206624641052,true
12,1000,0.019165051329824156,0.16226698299672948,0.14310193166690532,true
12,5000,0.012431623310439094,0.16821701620854618,0.15578539289810708,true
13,100,0.10434504220348423,0.21069444115104616,0.10634939894756193,true
13,500,0.053184164326690875,0.20017949390610312,0.14699532957941225,true
13,1000,0.03017242786992963,0.1556578558581747,0.12548542798824508,true
13,5000,0.008534718542391517,0.1697777602615672,0.1612430417191757,true
14,100,0.10307525778273827,0.25199892442187655,0.14892366663913828,true
14,500,0.03255298385842281,0.18471881991882017,0.15216583606039735,true
14,1000,0.03514188885720093,0.18883730585511838,0.15369541699791744,true
14,5000,0.0074411131531531005,0.16634070169439547,0.15889958854124236,true
15,100,0.07454047868399427,0.18123462224405051,0.10669414356005624,true
15,500,0.036788991743636035,0.19657270137489224,0.1597837096312562,true
15,1000,0.036480779512907846,0.18240691073805204,0.1459261312251442,true
15,5000,0.018568647090626778,0.17751663258295314,0.15894798549232636,true
16,100,0.12262845158701652,0.2286657355023104,0.10603728391529388,true
16,500,0.03937154841298346,0.20066573550231043,0.16129418708932697,true
16,1000,0.020844737199626873,0.15966892377997366,0.1388241865803468,true
16,5000,0.014210872919367401,0.17431663258295316,0.16010575966358576,true
17,100,0.0791311428598504,0.16381501335463616,0.08468387049478576,true
17,500,0.02485841249145057,0.1707188199188202,0.14586040742736964,true
17,1000,0.025242997886322005,0.1865527800760558,0.1613097821897338,true
17,5000,0.012401447436920982,0.1721407016943955,0.1597392542574745,true
18,100,0.10118231286232271,0.2247166325829531,0.12353431972063039,true
18,500,0.03898832829403098,0.19857367106480994,0.15958534277077896,true
18,1000,0.01568470781301068,0.16983730585511836,0.15415259804210768,true
18,5000,0.014811245263011641,0.16820691073805205,0.1533956654750404,true
19,100,0.07297354322331967,0.23384166115893054,0.16086811793561087,true
19,500,0.033636672777469345,0.15669893970675763,0.12306226692928829,true
19,1000,0.022817687137677123,0.17739592099189067,0.15457823385421354,true
19,5000,0.0082664453626001,0.16611881991882027,0.15785237455622017,true
20,100,0.15342857629882922,0.2672154721272074,0.1137868958283782,true
20,500,0.029127541674657143,0.1899989244218765,0.16087138274721935,true
20,1000,0.029954639935111715,0.18267671134395963,0.15272207140884791,true
20,5000,0.013393204536167103,0.16610089461301666,0.15270769007684956,true
21,100,0.09273938759400147,0.17249751978097,0.07975813218696853,true
21,500,0.05341425076773232,0.1833426598721943,0.129928409104462,true
21,1000,0.05522408738559237,0.18565785585817474,0.13043376847258237,true
21,5000,0.007498253402804078,0.16039892442187653,0.15290067101907245,true
22,100,0.10201124526301164,0.2014208254107125,0.09940958014770085,true
22,500,0.024108150123677508,0.17542082541071258,0.15131267528703507,true
22,1000,0.03182113455303659,0.18571663258295312,0.15389549802991653,true
22,5000,0.008702746631609599,0.16307671134395962,0.15437396471235001,true
23,100,0.09580452483568547,0.18747584318599667,0.0916713183503112,true
23,500,0.03931105245692135,0.19261701620854615,0.1533059637516248,true
23,1000,0.021585220857754273,0.17384166115893052,0.15225644030117624,true
23,5000,0.011894706346591621,0.17290550954394346,0.16101080319735184,true
24,100,0.07746285690718213,0.17802392840056772,0.10056107149338558,true
24,500,0.02703488148236538,0.16804273326221975,0.14100785177985437,true
24,1000,0.020992653790554816,0.1736170162085462,0.15262436241799138,true
24,5000,0.009016797266923449,0.16229893970675774,0.1532821424398343,true
25,100,0.0943004360202962,0.24040691073805204,0.14610647471775584,true
25,500,0.0441804590651903,0.2028235358813333,0.158643076816143,true
25,1000,0.02228679101292841,0.15726698299672948,0.13498019198380107,true
25,5000,0.019431352909373145,0.1581188199188202,0.13868746700944706,true
26,100,0.10100636694119586,0.2510580137281753,0.15005164678697946,true
26,500,0.053459521316005676,0.21267671134395966,0.15921719002795398,true
26,1000,0.02352401768225537,0.1780580137281753,0.15453399604591994,true
26,5000,0.023000150448991563,0.17581701620854628,0.15281686575955472,true
27,100,0.09158118022443495,0.24669893970675771,0.15511775948232276,true
27,500,0.052300436020296215,0.18430089461301666,0.13200045859272044,true
27,1000,0.016525767897927666,0.16814070169439543,0.15161493379646776,true
27,5000,0.011216560935486952,0.16239892442187653,0.15118236348638958,true
28,100,0.09853795850634195,0.21814657097887835,0.1196086124725364,true
28,500,0.05092474221726173,0.20450706357034953,0.1535823213530878,true
28,1000,0.04504536006488824,0.20614070169439547,0.16109534162950723,true
28,5000,0.006528789808697866,0.16361701620854618,0.15708822639984832,true
29,100,0.13647831070728578,0.22105801372817535,0.08457970302088957,true
29,500,0.0337759126144076,0.18290126369640858,0.14912535108200098,true
29,1000,0.017772083872902675,0.1698416611589305,0.15206957728602782,true
29,5000,0.013284919157712127,0.1674324372745305,0.15414751811681837,true
30,100,0.056790628797250664,0.18070550954394354,0.12391488074669288,true
30,500,0.027007968265095883,0.17593795327691686,0.14892998501182098,true
30,1000,0.013881827480941189,0.16666892377997378,0.1527870962990326,true
30,5000,0.011725812988444717,0.16717367106480996,0.15544785807636524,true
